date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,100.335,100.335,100.335,100.335
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,101.0945238095238,100.64774509803921,100.4929207920792,100.41435323383084
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,101.88552154195011,100.99097078046906,100.66929859817664,100.50376265438973
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,102.16975758557392,101.14308957339183,100.75248080415334,100.54720780210725
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,102.53454257742402,101.33355664894509,100.85639207535822,100.60146444089226
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,103.04649090338364,101.59145638820215,100.99606747980656,100.67418618774906
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,103.34206319829948,101.77022280435108,101.09812554951336,100.7286718973237
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,103.21520003655668,101.77962583163144,101.11618246932497,100.74142143068366
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,103.13470479497985,101.80277775980275,101.14101053923933,100.75762619256741
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,102.85997100498177,101.7418845143203,101.12336676618509,100.75257518567619
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,102.73140233784065,101.7327910039548,101.13102286982497,100.76011175099285
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,102.47222116280821,101.66523057242716,101.10882439715517,100.75264795247551
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,102.38724771873125,101.66188819703787,101.1181546071125,100.76088031115735
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,102.37893841218542,101.6869121893109,101.14155748617958,100.77619493492693
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,102.37237284912015,101.71134700541636,101.16469496170077,100.79145667686797
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,102.65405162539443,101.85325496598826,101.24717624958788,100.836616311924
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,103.11557051821401,102.07469594771422,101.37099454167526,100.90291863717849
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,103.91313523076506,102.44392355760779,101.57137088738465,101.00826273034089
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,104.68331282783507,102.81867165338788,101.77787839456515,101.11763325043701
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,105.5677592251841,103.25597864737267,102.01930654516782,101.24551749670132
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,106.70321072754751,103.81417556316198,102.32565691061004,101.4071541385252
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,107.90861922968584,104.42381573715564,102.6629706351524,101.58578942072893
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,108.8544650173348,104.94994061020836,102.96350587009988,101.74752285932865
